四半期,カテゴリ,達成すべき状態,判定基準,チェック欄
Q1,N&U連携,発注→出荷オペレーション安定稼働,翌営業日出荷率95%以上,
Q1,N&U連携,在庫情報のリアルタイム共有,毎日在庫リスト更新,
Q1,N&U連携,卸価格決定プロセス確立,価格決定24h以内,
Q1,Discord運営,流入→問い合わせ→成約導線確立,問い合わせ率15%達成,
Q1,Discord運営,新規顧客対応マニュアル化,対応フロー文書化完了,
Q1,Discord運営,顧客ランク管理の仕組み稼働,ランク別リスト運用開始,
Q1,組織,山崎が全員を直接マネジメント,週次1on1実施,
Q1,組織,採用2名完了,5月・6月に各1名入社,
Q1,組織,リーダー候補の見極め完了,候補者1-2名特定,
Q1,売上基盤,山崎＋弟で月商4000万安定,3ヶ月連続達成,
Q1,売上基盤,VIP/VVIP顧客83名到達,ランク別管理で確認,
Q2,組織体制,3チーム体制確立,チーム別売上管理開始,
Q2,組織体制,クレイリーダー候補が機能,チーム売上目標達成,
Q2,組織体制,N&Uリーダー2名が任命・稼働,チーム運営開始,
Q2,組織体制,14名体制完成,9月末時点で14名,
Q2,顧客成長,Q1獲得顧客のActive→VIP昇格開始,昇格率10%以上,
Q2,顧客成長,VIP/VVIP顧客195名到達,ランク別管理で確認,
Q2,顧客成長,リピートサイクル10日以内定着,全顧客平均で達成,
Q2,オペレーション,在庫消化48h以内70%安定,3ヶ月連続達成,
Q2,オペレーション,チーム別KPI管理稼働,週次チーム別レビュー,
Q2,売上規模,月商2億突破,8月実績で確認,
Q2,売上規模,月商2.5億達成,9月実績で確認,
Q3,売上達成,月商4億達成,12月実績で確認,
Q3,売上達成,VIP/VVIP顧客が売上の主軸,VIP以上売上比率60%以上,
Q3,売上達成,1人当たり月商2500万以上,チーム平均で達成,
Q3,組織成熟,各チームが自律的に運営,山崎介入なしで週回る,
Q3,組織成熟,リーダー間の連携確立,週次リーダー会議実施,
Q3,組織成熟,新人が戦力化,Q1-Q2採用者全員月商1000万以上,
Q3,顧客基盤,VIP/VVIP顧客400名突破,ランク別管理で確認,
Q3,顧客基盤,VVIP顧客50名以上,卸パートナー化,
Q3,顧客基盤,顧客離脱率VIP以上5%以下,月次離脱率で確認,
Q3,オペレーション,資金回転8-10回転安定,3ヶ月連続達成,
Q4,安定稼働,月商4億×3ヶ月連続,1-3月全て達成,
Q4,安定稼働,粗利率6.5%以上維持,月次で確認,
Q4,安定稼働,営業利益1700万/月維持,月次P/Lで確認,
Q4,組織定着,離職ゼロ,14名体制維持,
Q4,組織定着,全員が月商1000万以上,個人別実績で確認,
Q4,組織定着,リーダー全員が月商2000万以上,リーダー別実績で確認,
Q4,次年度準備,次年度50億計画策定完了,計画書作成,
Q4,次年度準備,採用計画策定完了,採用要件定義,
Q4,次年度準備,N&U契約更新協議完了,契約書更新,
Q4,顧客基盤,VIP/VVIP顧客460名以上,ランク別管理で確認,
Q4,顧客基盤,年間新規成約1200名達成,累計で確認,
