月,月商(円),累計売上(円),粗利(円),累計粗利(円),粗利率(%),要員(人),取引件数(件),1人当たり売上(円),Discord新規,問い合わせ数,新規成約数,VIP/VVIP数
4月,80000000,80000000,5200000,5200000,6.5,7,400,11428571,2000,300,100,47
5月,100000000,180000000,6500000,11700000,6.5,8,500,12500000,2000,300,100,62
6月,120000000,300000000,7800000,19500000,6.5,9,600,13333333,2000,300,100,83
7月,150000000,450000000,9750000,29250000,6.5,10,750,15000000,2000,300,100,110
8月,200000000,650000000,13000000,42250000,6.5,12,1000,16666666,2000,300,100,147
9月,250000000,900000000,16250000,58500000,6.5,14,1250,17857142,2000,300,100,195
10月,320000000,1220000000,20800000,79300000,6.5,14,1600,22857142,2000,300,100,255
11月,380000000,1600000000,24700000,104000000,6.5,14,1900,27142857,2000,300,100,328
12月,400000000,2000000000,26000000,130000000,6.5,14,2000,28571428,2000,300,100,400
1月,400000000,2400000000,26000000,156000000,6.5,14,2000,28571428,2000,300,100,420
2月,400000000,2800000000,26000000,182000000,6.5,14,2000,28571428,2000,300,100,440
3月,400000000,3200000000,26000000,208000000,6.5,14,2000,28571428,2000,300,100,460
